사용월,호선명,지하철역,04시_하차,05시_하차,06시_하차,07시_하차,08시_하차,09시_하차,10시_하차,11시_하차,12시_하차,13시_하차,14시_하차,15시_하차,16시_하차,17시_하차,18시_하차,19시_하차,20시_하차,21시_하차,22시_하차,23시_하차,00시_하차,01시_하차,02시_하차,03시_하차
202302,7호선,고속터미널,4,2453,19587,33259,46599,34726,27636,26841,24377,27526,23671,19718,19785,21378,23771,15526,8799,8347,5125,2731,639,4,0,0
202302,7호선,공릉(서울과학기술대),0,815,3591,7354,21247,15639,12285,11191,13960,14375,14673,17393,21098,25816,38513,35265,19809,17294,16372,11190,4111,0,0,0
202302,7호선,광명사거리,0,5381,10600,14155,22424,20931,21250,24161,26433,29498,29828,33405,38041,50421,75851,60320,33164,29109,24122,15787,4334,23,0,0
202302,7호선,군자(능동),0,776,5727,8991,27369,16756,11044,11104,11956,13287,14138,16906,19742,25596,40686,32694,19789,17274,15188,9401,3643,43,0,0
202302,7호선,남구로,3,1728,8009,28825,92856,43871,18540,13942,13171,14875,13307,15511,22658,27515,29284,21994,14202,15890,13707,7208,1861,0,0,0
202302,7호선,남성,0,769,3265,5613,12221,10652,9405,9857,10840,11083,12335,15566,18952,24686,40295,30415,18998,16533,15580,9961,3255,3,0,0
202302,7호선,내방,2,1384,9543,22005,79580,44729,19874,14854,15597,17611,16191,15852,16832,21924,30892,20835,12181,10491,9087,5711,2521,157,0,0
202302,7호선,노원,2,2163,5723,12756,43186,40462,30292,30993,32797,37352,36292,37664,39591,45187,59052,50851,24097,19500,16992,11573,3954,0,0,0
202302,7호선,논현,1,1047,13558,38435,98743,88001,35041,20864,20630,21848,20496,18756,19449,23840,32225,18467,9748,8164,6723,4800,2192,0,0,0
202302,7호선,대림(구로구청),0,835,3640,5819,16642,12102,14718,16342,13900,13489,13427,14143,16626,22568,23288,15702,10313,11364,9665,4737,1083,0,0,0
202302,7호선,도봉산,1,751,4794,6199,9508,11285,13031,11366,11348,11167,11126,12131,15006,19441,31684,37141,21950,18170,16142,11431,4442,106,0,0
202302,7호선,뚝섬유원지,0,507,3332,5832,12392,9292,8051,8668,10492,12954,13956,14691,15358,18732,26128,19451,12612,12070,10239,5269,1747,1,0,0
202302,7호선,마들,1,1182,2865,5943,10036,8922,9199,9754,11741,13029,14656,17475,21380,26695,43340,45873,24973,21930,20536,13307,4496,0,0,0
202302,7호선,먹골,0,604,2818,5223,14634,9001,7703,8505,10951,11246,11695,14670,18444,24136,36006,32734,19127,16596,15106,9425,3109,192,0,0
202302,7호선,면목,0,691,4821,7680,21224,13780,13432,12889,14248,15437,16831,22361,27530,32400,49569,47159,27348,23218,22634,13037,4728,0,0,0
202302,7호선,반포,0,1451,11800,10804,17842,15116,9618,9556,9704,8716,8163,7633,7711,8891,11289,6813,4306,3636,3731,2144,657,0,0,0
202302,7호선,보라매,0,768,2766,7665,20427,9718,7812,7821,8838,8516,8438,9171,10949,15427,23807,18232,10370,9352,8608,5393,2136,26,0,0
202302,7호선,사가정,0,1319,5886,9572,23332,15297,13999,14479,15979,17711,19018,24192,29516,37539,59377,51431,29273,25883,22329,12860,4491,0,0,0
202302,7호선,상도,0,1318,4476,6945,16011,13847,11467,9935,11584,13231,12996,15547,17439,22774,38894,27991,18290,16182,15909,10547,3180,0,0,0
