사용월,호선명,지하철역,04시_승차,05시_승차,06시_승차,07시_승차,08시_승차,09시_승차,10시_승차,11시_승차,12시_승차,13시_승차,14시_승차,15시_승차,16시_승차,17시_승차,18시_승차,19시_승차,20시_승차,21시_승차,22시_승차,23시_승차,00시_승차,01시_승차,02시_승차,03시_승차
202303,신림선,서울대벤처타운,1,5377,9153,31874,43094,26093,16402,14569,15757,15520,13471,12708,13769,14374,15262,8968,6199,5143,5445,2208,543,0,0,0
202303,신림선,서울지방병무청,0,1114,2988,9901,13683,7847,6355,5578,5185,4477,4249,5137,4961,4145,4576,2509,1776,1552,1282,471,130,1,0,0
202303,신림선,서원,0,2145,3959,14058,20731,12367,6612,5410,5675,5352,4289,3710,3834,3746,3530,2488,2032,1246,967,418,107,0,0,0
202303,신림선,신림,1,911,1248,4014,7272,3944,2548,2609,2841,2855,2633,2834,2966,2942,3259,2546,1910,1701,1341,858,290,0,0,0
202303,우이신설선,4.19민주묘지,5,1511,3387,9792,10979,7093,5729,6216,7095,7925,9107,9360,13612,13993,7962,4292,3318,2428,1397,559,114,0,0,0
202303,우이신설선,가오리,6,2694,6524,18798,19604,12215,8929,8825,8210,7863,6387,6294,6166,6515,5084,3657,2442,1738,1279,577,211,0,0,0
202303,우이신설선,보문,9,544,1117,2284,4535,3627,2727,2620,2967,3090,2928,3303,4142,3815,4062,2474,1959,1792,1368,657,170,0,0,0
202303,우이신설선,북한산보국문,13,2529,8196,23235,25307,18205,12917,11764,12016,11768,10444,10845,13601,14440,13785,6891,4830,4190,3198,1751,539,0,0,0
202303,우이신설선,북한산우이,15,1567,3651,9921,11128,6628,5039,5216,6764,7698,8826,9415,8255,6723,5325,3271,2070,1531,906,469,153,0,0,0
202303,우이신설선,삼양,1,1141,2801,7609,8071,5610,4132,4076,4143,4095,3610,3111,3253,3145,2897,1916,1354,978,503,306,67,0,0,0
202303,우이신설선,삼양사거리,4,1374,3063,8650,10133,6767,5441,4949,5322,5186,4268,4021,4114,4143,3606,2913,1885,1509,1106,505,127,0,0,0
202303,우이신설선,성신여대입구(돈암),2,728,1163,4084,7599,5536,4638,5333,5961,6168,6249,6808,8008,8297,9942,7040,6489,7902,6730,3095,790,0,0,0
202303,우이신설선,솔밭공원,11,2107,4446,11912,12165,7651,5317,5006,4936,4373,3954,4558,4311,3475,2957,1971,1306,911,745,456,60,0,0,0
202303,우이신설선,솔샘,4,3280,11120,33268,31356,18659,11734,10357,10167,8905,7108,6814,7335,6730,5245,3668,2482,1773,1483,634,151,0,0,0
202303,우이신설선,신설동,50,897,1110,1399,2804,2062,2182,2847,3263,3740,4266,5452,6794,8058,10509,5107,3536,3346,2331,946,186,0,0,0
