하차인원수,위도,경도,시간대
732.0,37.501364,126.987332,21
677.0,37.501364,126.987332,22
464.5,37.501364,126.987332,23
188.25,37.501364,126.987332,0
2.0,37.501364,126.987332,1
0.0,37.501364,126.987332,2
0.0,37.501364,126.987332,3
0.5,37.611377,126.91727,4
169.75,37.611377,126.91727,5
2292.25,37.611377,126.91727,6
5425.75,37.611377,126.91727,7
6583.75,37.611377,126.91727,8
5127.75,37.611377,126.91727,9
4923.0,37.611377,126.91727,10
6222.75,37.611377,126.91727,11
6940.25,37.611377,126.91727,12
7689.5,37.611377,126.91727,13
7883.0,37.611377,126.91727,14
9895.25,37.611377,126.91727,15
13115.5,37.611377,126.91727,16
14437.25,37.611377,126.91727,17
21121.75,37.611377,126.91727,18
20313.75,37.611377,126.91727,19
10483.5,37.611377,126.91727,20
9423.5,37.611377,126.91727,21
8347.75,37.611377,126.91727,22
5278.0,37.611377,126.91727,23
1744.25,37.611377,126.91727,0
4.0,37.611377,126.91727,1
0.0,37.611377,126.91727,2
0.0,37.611377,126.91727,3
6.0,37.496756,126.870793,4
1426.25,37.496756,126.870793,5
4237.0,37.496756,126.870793,6
7430.0,37.496756,126.870793,7
13180.5,37.496756,126.870793,8
10198.75,37.496756,126.870793,9
6382.5,37.496756,126.870793,10
6248.0,37.496756,126.870793,11
9875.5,37.496756,126.870793,12
11712.75,37.496756,126.870793,13
8570.25,37.496756,126.870793,14
10445.0,37.496756,126.870793,15
12836.0,37.496756,126.870793,16
17119.5,37.496756,126.870793,17
26361.25,37.496756,126.870793,18
19416.25,37.496756,126.870793,19
11194.5,37.496756,126.870793,20
10378.25,37.496756,126.870793,21
8923.5,37.496756,126.870793,22
5764.75,37.496756,126.870793,23
325.75,37.496756,126.870793,0
0.0,37.496756,126.870793,1
0.0,37.496756,126.870793,2
0.0,37.496756,126.870793,3
1.5,37.636763,126.918821,4
1226.75,37.636763,126.918821,5
8938.25,37.636763,126.918821,6
20951.75,37.636763,126.918821,7
27820.5,37.636763,126.918821,8
25327.75,37.636763,126.918821,9
26390.75,37.636763,126.918821,10
23331.5,37.636763,126.918821,11
25767.5,37.636763,126.918821,12
27729.25,37.636763,126.918821,13
28910.25,37.636763,126.918821,14
29784.0,37.636763,126.918821,15
36210.5,37.636763,126.918821,16
42173.5,37.636763,126.918821,17
74224.75,37.636763,126.918821,18
62474.5,37.636763,126.918821,19
35316.75,37.636763,126.918821,20
31817.25,37.636763,126.918821,21
28649.5,37.636763,126.918821,22
19796.75,37.636763,126.918821,23
8221.0,37.636763,126.918821,0
277.25,37.636763,126.918821,1
0.0,37.636763,126.918821,2
0.0,37.636763,126.918821,3
0.0,37.528105,126.917874,4
1882.25,37.528105,126.917874,5
9594.0,37.528105,126.917874,6
44949.75,37.528105,126.917874,7
146531.5,37.528105,126.917874,8
73931.75,37.528105,126.917874,9
28409.25,37.528105,126.917874,10
23632.75,37.528105,126.917874,11
20342.0,37.528105,126.917874,12
21793.75,37.528105,126.917874,13
17432.25,37.528105,126.917874,14
13137.75,37.528105,126.917874,15
12059.0,37.528105,126.917874,16
13938.75,37.528105,126.917874,17
13867.75,37.528105,126.917874,18
8215.5,37.528105,126.917874,19
5032.25,37.528105,126.917874,20
3894.25,37.528105,126.917874,21
3308.75,37.528105,126.917874,22
2146.75,37.528105,126.917874,23
693.75,37.528105,126.917874,0
1.0,37.528105,126.917874,1
0.0,37.528105,126.917874,2
0.0,37.528105,126.917874,3
0.5,37.35356,126.948462,4
1836.0,37.35356,126.948462,5
7623.0,37.35356,126.948462,6
31700.5,37.35356,126.948462,7
44221.25,37.35356,126.948462,8
9239.25,37.35356,126.948462,9
4727.25,37.35356,126.948462,10
4875.25,37.35356,126.948462,11
5389.0,37.35356,126.948462,12
6025.25,37.35356,126.948462,13
5809.0,37.35356,126.948462,14
6777.75,37.35356,126.948462,15
8671.75,37.35356,126.948462,16
10347.25,37.35356,126.948462,17
16394.75,37.35356,126.948462,18
11770.0,37.35356,126.948462,19
7788.0,37.35356,126.948462,20
6572.25,37.35356,126.948462,21
5902.5,37.35356,126.948462,22
3626.5,37.35356,126.948462,23
654.25,37.35356,126.948462,0
0.25,37.35356,126.948462,1
0.0,37.35356,126.948462,2
0.0,37.35356,126.948462,3
0.0,37.506997,126.73128,4
0.0,37.506997,126.73128,5
0.0,37.506997,126.73128,6
0.0,37.506997,126.73128,7
0.0,37.506997,126.73128,8
0.0,37.506997,126.73128,9
0.0,37.506997,126.73128,10
0.0,37.506997,126.73128,11
0.0,37.506997,126.73128,12
0.0,37.506997,126.73128,13
0.0,37.506997,126.73128,14
0.0,37.506997,126.73128,15
0.0,37.506997,126.73128,16
0.0,37.506997,126.73128,17
0.0,37.506997,126.73128,18
0.0,37.506997,126.73128,19
0.0,37.506997,126.73128,20
0.0,37.506997,126.73128,21
0.0,37.506997,126.73128,22
0.0,37.506997,126.73128,23
0.0,37.506997,126.73128,0
0.0,37.506997,126.73128,1
0.0,37.506997,126.73128,2
0.0,37.506997,126.73128,3
4.25,37.372221,126.943429,4
5656.25,37.372221,126.943429,5
19161.5,37.372221,126.943429,6
42121.75,37.372221,126.943429,7
88931.75,37.372221,126.943429,8
33071.0,37.372221,126.943429,9
22675.25,37.372221,126.943429,10
24834.5,37.372221,126.943429,11
26557.5,37.372221,126.943429,12
28524.5,37.372221,126.943429,13
30004.5,37.372221,126.943429,14
37765.25,37.372221,126.943429,15
47320.25,37.372221,126.943429,16
65918.0,37.372221,126.943429,17
95691.5,37.372221,126.943429,18
77072.25,37.372221,126.943429,19
44717.75,37.372221,126.943429,20
43703.5,37.372221,126.943429,21
37427.75,37.372221,126.943429,22
26025.0,37.372221,126.943429,23
9464.5,37.372221,126.943429,0
2.0,37.372221,126.943429,1
0.0,37.372221,126.943429,2
0.0,37.372221,126.943429,3
2.75,37.455626,126.89398,4
1270.25,37.455626,126.89398,5
5278.25,37.455626,126.89398,6
