승차인원수,위도,경도,시간대
10031.5,37.496756,126.870793,10
9491.75,37.496756,126.870793,11
10114.0,37.496756,126.870793,12
9087.0,37.496756,126.870793,13
8723.0,37.496756,126.870793,14
11510.75,37.496756,126.870793,15
14847.25,37.496756,126.870793,16
14891.75,37.496756,126.870793,17
13313.0,37.496756,126.870793,18
6234.0,37.496756,126.870793,19
6015.5,37.496756,126.870793,20
7400.75,37.496756,126.870793,21
4164.0,37.496756,126.870793,22
1280.25,37.496756,126.870793,23
25.0,37.496756,126.870793,0
0.0,37.496756,126.870793,1
0.0,37.496756,126.870793,2
0.0,37.496756,126.870793,3
77.25,37.636763,126.918821,4
10587.5,37.636763,126.918821,5
31346.25,37.636763,126.918821,6
84987.0,37.636763,126.918821,7
78963.75,37.636763,126.918821,8
45209.75,37.636763,126.918821,9
32011.25,37.636763,126.918821,10
30077.25,37.636763,126.918821,11
31144.25,37.636763,126.918821,12
29331.0,37.636763,126.918821,13
29511.25,37.636763,126.918821,14
32514.5,37.636763,126.918821,15
35808.25,37.636763,126.918821,16
37220.25,37.636763,126.918821,17
30208.25,37.636763,126.918821,18
19377.0,37.636763,126.918821,19
15562.75,37.636763,126.918821,20
13588.0,37.636763,126.918821,21
10879.0,37.636763,126.918821,22
3184.0,37.636763,126.918821,23
510.5,37.636763,126.918821,0
2.5,37.636763,126.918821,1
0.0,37.636763,126.918821,2
0.0,37.636763,126.918821,3
1.25,37.528105,126.917874,4
802.5,37.528105,126.917874,5
1980.75,37.528105,126.917874,6
4403.75,37.528105,126.917874,7
7259.75,37.528105,126.917874,8
6197.5,37.528105,126.917874,9
8363.75,37.528105,126.917874,10
12670.75,37.528105,126.917874,11
16682.0,37.528105,126.917874,12
20378.5,37.528105,126.917874,13
24869.0,37.528105,126.917874,14
26625.5,37.528105,126.917874,15
34734.75,37.528105,126.917874,16
72179.5,37.528105,126.917874,17
104771.25,37.528105,126.917874,18
39824.75,37.528105,126.917874,19
25411.75,37.528105,126.917874,20
24529.0,37.528105,126.917874,21
15489.5,37.528105,126.917874,22
5223.0,37.528105,126.917874,23
893.0,37.528105,126.917874,0
0.25,37.528105,126.917874,1
0.0,37.528105,126.917874,2
0.0,37.528105,126.917874,3
20.0,37.35356,126.948462,4
4992.75,37.35356,126.948462,5
9207.75,37.35356,126.948462,6
18571.25,37.35356,126.948462,7
18328.5,37.35356,126.948462,8
9821.5,37.35356,126.948462,9
7883.75,37.35356,126.948462,10
7678.5,37.35356,126.948462,11
7939.25,37.35356,126.948462,12
7447.0,37.35356,126.948462,13
7082.25,37.35356,126.948462,14
7485.75,37.35356,126.948462,15
9544.75,37.35356,126.948462,16
23921.25,37.35356,126.948462,17
36014.25,37.35356,126.948462,18
11970.25,37.35356,126.948462,19
9389.75,37.35356,126.948462,20
5115.25,37.35356,126.948462,21
2924.5,37.35356,126.948462,22
1106.0,37.35356,126.948462,23
46.25,37.35356,126.948462,0
0.25,37.35356,126.948462,1
0.0,37.35356,126.948462,2
0.0,37.35356,126.948462,3
0.0,37.506997,126.73128,4
0.0,37.506997,126.73128,5
0.0,37.506997,126.73128,6
0.0,37.506997,126.73128,7
0.0,37.506997,126.73128,8
0.0,37.506997,126.73128,9
0.0,37.506997,126.73128,10
0.0,37.506997,126.73128,11
0.0,37.506997,126.73128,12
1.0,37.506997,126.73128,13
0.0,37.506997,126.73128,14
0.0,37.506997,126.73128,15
0.0,37.506997,126.73128,16
0.0,37.506997,126.73128,17
0.0,37.506997,126.73128,18
0.0,37.506997,126.73128,19
0.0,37.506997,126.73128,20
0.0,37.506997,126.73128,21
0.0,37.506997,126.73128,22
0.0,37.506997,126.73128,23
0.0,37.506997,126.73128,0
0.0,37.506997,126.73128,1
0.0,37.506997,126.73128,2
0.0,37.506997,126.73128,3
355.0,37.372221,126.943429,4
22741.25,37.372221,126.943429,5
37611.5,37.372221,126.943429,6
91427.5,37.372221,126.943429,7
90030.25,37.372221,126.943429,8
53827.0,37.372221,126.943429,9
37944.25,37.372221,126.943429,10
34251.25,37.372221,126.943429,11
36055.5,37.372221,126.943429,12
34597.25,37.372221,126.943429,13
31086.25,37.372221,126.943429,14
33095.25,37.372221,126.943429,15
40024.75,37.372221,126.943429,16
62285.5,37.372221,126.943429,17
75261.5,37.372221,126.943429,18
35664.5,37.372221,126.943429,19
28110.5,37.372221,126.943429,20
24273.0,37.372221,126.943429,21
17429.0,37.372221,126.943429,22
7498.0,37.372221,126.943429,23
489.75,37.372221,126.943429,0
0.25,37.372221,126.943429,1
0.0,37.372221,126.943429,2
0.0,37.372221,126.943429,3
550.75,37.455626,126.89398,4
11432.75,37.455626,126.89398,5
17915.25,37.455626,126.89398,6
44861.0,37.455626,126.89398,7
